date,avg_temp,max_temp,min_temp,rain_fall,cloud,sunshine,moist,price
36161,-1.5,3.5,-6.9,0,1.5,7.2,58.5,1618
36162,2.7,6.6,-0.5,0.1,4.6,5.8,77,1618
36163,1.9,8.6,-2.8,0,0.9,7.8,59,1618
36164,2.5,9.2,-3,0,0,7.7,54.1,1618
36165,3.6,8.1,-1.9,0,5.6,2.1,65.5,1627
36166,3.3,5.9,-0.5,1.8,6,0,74.6,1600
36167,-6,-0.5,-8.6,0,0,8.6,40.4,1564
36168,-9.1,-5.6,-11,0,0.4,7.6,45.3,1564
36169,-9.3,-5.4,-12.2,0,0,8.3,43.3,1564
36170,-6.7,-2.3,-10.8,0,0,8.5,37.1,1568
36171,-6.3,-2.1,-9.1,0,0,8.3,48.1,1568
36172,-5.6,-1.5,-8.9,0,0,8,55.8,1573
36173,-3.6,0.7,-7.2,0,0,8.4,61.8,1627
36174,-3.3,-0.2,-5.7,0,7.5,3.1,55.1,1591
36175,-2.4,1.5,-6,0,1.9,8.2,53,1536
36176,-1.7,3.2,-5.2,0,1.5,8.3,55.3,1527
36177,-1,3.8,-5.3,0,3.9,6,63,1527
36178,1.8,7.3,-2.7,0,4,5.2,68.6,1527
36179,2.8,6.7,-1.8,0,7.1,1.8,60.9,1527
36180,-2.6,1.5,-5.5,0,1,8.5,54.5,1527
36181,-0.6,4.6,-7.1,0,4.5,4.7,61.9,1527
36182,5.1,7.3,2,0,8.5,1,75.8,1527
36183,6.5,8.4,4.7,0,7.9,0,72.6,1527
36184,7.5,12.4,4.2,0,3.8,7.6,65.6,1527
36185,5,7.1,0.8,3,5,6.2,61.1,1527
36186,3.8,8.3,-1.3,0,1,7.2,56.5,1536
36187,4,7.7,-2.6,0.7,5.1,0.6,66.4,1527
36188,-2.3,0.8,-5.8,0.1,1.3,8.4,39,1518
36189,-5.4,-1.1,-8.9,4.5,0.5,8.8,59.8,1518
36190,-5.6,-0.5,-10.5,0,0.9,8.8,55.3,1518
36191,-1.1,3.3,-6.3,0,6.8,1.4,62.9,1518
36192,2.5,6.5,-0.2,0,2.9,6.4,57.3,1518
36193,-3.7,-0.2,-8.4,0,3.9,6.3,41.6,1509
36194,-8.1,-3.2,-12.3,0,0,9,42.5,1509
36195,-4.6,0.4,-9.6,0,0.6,8.8,55.5,1509
36196,-1.3,3.7,-5.8,0,1.8,7.7,65.6,1509
36197,-0.2,4.9,-4.8,0,3.4,8.5,63.1,1509
36198,2.9,8.1,-1.4,0,4.4,2.6,79.6,1509
36199,4.3,9.4,1.8,0,4,5.7,72.8,1509
36200,2.1,6.5,-1.2,0,8.8,0,76.1,1527
36201,1.2,5.4,-1.8,0,5.4,3.7,57.8,1555
36202,0.1,4.6,-3.2,1.4,2.5,5.8,55.3,1564
36203,-4.8,-2.1,-7.1,0,0.3,9.2,38.9,1564
36204,-4.2,0.7,-8.3,0,1.1,8.7,43.6,1564
36205,-1.9,0.4,-4.2,0.8,10,0,84,1564
36206,3.4,7.5,0.4,0,6.3,1.9,81.4,1564
36207,4.7,10.2,0.3,0,4.5,4.8,74.1,1564
36208,7.4,8.8,4.1,0,9.8,0,87.5,1564
36209,2.8,7.8,-2.6,0,4.3,8.6,47.6,1564
36210,-1.6,2.2,-4.6,0,0.1,9,43.4,1564
36211,-2.5,1.1,-5,0,0.6,9.3,42.3,1564
36212,-1.5,3.9,-6.2,0,0,9.4,47.4,1564
36213,2.6,7.6,-2,0,3.6,8.7,53.1,1564
36214,4.6,9.5,-1,0,7.5,2.7,65,1564
36215,5.5,8.5,3,0.7,9.1,1,74.4,1564
36216,5.7,9.6,1.8,0,5,3,71.1,1564
36217,5.7,9.4,3,0,7.6,0.8,75,1564
36218,-1.8,4.1,-4.3,0,0.3,10.1,32.5,1564
36219,0.1,4.8,-6.1,0,3.5,7.4,53.8,1582
36220,5.6,8.4,1.4,0,8.3,0,73.8,1582
36221,6.2,12.3,1.5,0,4.3,9.6,46.5,1600
36222,7.7,13.4,1.5,0,2.4,7.4,56.4,1600
36223,11.1,18.8,4,0,3.3,8.6,53.3,1600
36224,6.7,11.7,0.9,5.1,4.8,8.1,57.6,1600
36225,4.9,10.5,-0.8,0,8,1.6,54,1600
36226,5.2,10.8,1.6,0,5,8.7,43.4,1600
36227,3.3,6.5,1.3,0,7.4,0.6,61,1600
36228,3.2,7.4,0.4,0,9,3.6,47,1600
36229,4.1,8.6,0.8,0,7.6,4.3,57.3,1600
36230,2.5,7.2,-2.8,0,1.6,10.2,33.9,1600
36231,5.8,12,-1.2,0,1.1,9.1,37.6,1600
36232,9.3,16.2,1.3,0,0.6,9.7,48.1,1600
36233,10.7,14.7,6.4,0,8.9,0,45.3,1600
36234,9.6,14.3,7,0,5.4,6,53.5,1600
36235,9.7,16.9,3.3,0,4.1,8.7,51.4,1600
36236,11.3,16.3,6.2,0,6,7.4,61,1600
36237,11.5,13.5,9.7,42.2,9.6,0.2,79.8,1600
36238,6.8,9.9,2.7,1.6,7.1,5.7,54.9,1564
36239,6.5,11.6,2.3,0,7.4,7.3,47.5,1564
36240,1.5,6.5,-3,3,5.8,4.8,57.5,1564
36241,-0.8,4.1,-6.2,0,0,10.4,35.6,1564
36242,3.6,9.7,-3.2,0,0.3,9.8,48.9,1564
36243,6,11.4,-0.1,0,3.3,2.7,49.6,1545
36244,9.7,16.4,1.6,0,6.4,7.5,48.5,1536
36245,9.3,12,6.2,3.1,8.3,1.9,64.1,1513
36246,8.6,14.1,3.3,0,2.4,9.3,29,1491
36247,4,8.1,0.1,0,1,10.4,31.5,1491
36248,3.7,7.6,-1.8,0,7.1,6.8,35.4,1491
36249,8.3,15.8,0.9,0,1.1,7.9,39.6,1500
36250,10.8,16.4,3.2,0,3.4,9.4,42,1500
36251,10.3,13.8,8.8,10.5,8.8,0,72.4,1500
36252,9,13.6,5,0,4.4,9.5,50.6,1500
36253,7,11.2,2.3,0,3.6,7.7,43.3,1500
36254,8.3,13.8,1.8,0,5.8,7.1,62.8,1500
36255,10.5,17.2,6.6,14.8,6.9,5.9,72.4,1500
36256,7.7,12.6,3.7,0.2,7.5,3.5,62.4,1500
36257,8,13.6,1.6,0,3.4,9.8,60.5,1500
36258,11.7,17.4,5.6,0,2.8,10.5,47.8,1500
36259,11.1,14.6,7.7,25.1,8.9,0,64.9,1500
36260,13.3,18.9,9.9,22.5,6.6,6.1,66,1500
36261,14.8,22.1,7,0,5.3,10.3,51.8,1500
36262,11.2,13.8,8.7,17.9,10,0,87.4,1500
36263,7.5,9.3,5.4,6.2,7.8,0,70.4,1500
36264,9.7,15.3,4.8,0,0.3,11.3,38,1509
36265,11.8,18.7,4.2,0,1.9,10,47.3,1509
36266,12.1,15.3,10.4,0,9.8,0,79.6,1509
36267,16.1,21.9,10.4,0,7.5,7.7,56.1,1545
36268,19,26.5,10.9,0,3.1,9.9,47.5,1553
36269,18.7,25.1,12.7,0,0.9,10.7,49.4,1564
36270,18.4,24.6,12.4,0,3.5,7.5,58.1,1609
36271,18.4,24.2,13.6,0,1.5,10.8,55.4,1609
36272,19.2,24.7,12.8,0,0.9,11,62,1609
36273,20.3,26.4,13.6,0,4.5,8.3,57.5,1636
36274,20.9,27.3,15.1,0,1,10.9,59.8,1636
36275,21.4,28.2,14,0,0,10.9,52,1636
36276,20.1,26.3,14.9,0,0.3,11.1,51,1636
36277,15.1,19.3,10.7,0,6.8,6.3,76.1,1636
36278,14.2,19.8,10.4,0,5.6,9,59.9,1636
36279,15,21.3,7.8,0,0.3,11.2,53.9,1636
36280,16.1,23,9,0,1.3,11.1,54.6,1591
36281,15.4,19.9,12.1,0,2.6,11.3,63.9,1591
36282,16.7,22.1,10.2,0,8.5,5.2,64.5,1591
36283,14.7,17.2,13.2,44.5,10,0,89.8,1591
36284,17.9,23.9,12.2,0,2.1,11.5,57.9,1591
36285,16.5,22.2,11,0,1.9,9.6,58.3,1582
36286,16.1,21.1,10.8,0,0,11.5,57.6,1573
36287,16.9,21,12.5,0,1.6,10.6,69.9,1555
36288,18.1,24.6,11.4,0,1.1,8.8,60.3,1536
36289,17.4,23.7,13.7,0.3,5.4,6.7,70,1523
36290,18.1,24.1,12.5,0,4.6,7,65.9,1509
36291,17.6,23.5,12.2,0,0.8,11.3,65.5,1464
36292,17.4,23.7,11.5,0,0,11.3,58.9,1464
36293,18.4,25.1,12,0,0.4,11.5,63.5,1464
36294,18.3,25.1,13.3,0,6.5,5.2,59.9,1464
36295,16.1,16.9,15.3,1.4,9.5,0,87.8,1482
36296,19.4,26.3,13.6,0,3.4,8.4,68.4,1482
36297,21.9,27.9,13.6,0,4.5,9.8,50.8,1482
36298,17.1,22.3,12.5,33.2,9.8,0,70.4,1482
36299,12.9,14.5,11.3,1.7,9.8,0,79.3,1464
36300,16.2,21.7,11.4,0,2.1,9.9,66.3,1445
36301,19.4,26.6,10.8,0,0.4,11.4,55,1427
36302,20.6,26.7,15.5,0,3,10.1,59,1423
36303,21.8,27.1,16.1,1.3,8,6.9,61.6,1423
36304,15.4,20.3,12.4,23.9,8.4,0,87.3,1418
36305,15.6,19.3,10.4,0,5.3,5.7,77.3,1418
36306,15.8,17.5,12.7,1.4,9.5,0,81.6,1436
36307,15.5,18.9,12.8,2,5.9,5.9,64.6,1436
36308,15.9,21.5,11.2,0,1.4,12.2,61.5,1418
36309,17.5,23.4,11.4,0,0.1,11.3,59.3,1400
36310,20.3,27.6,11.7,0,0.5,11.5,45.5,1400
36311,21.7,28.1,14.1,0,4.1,10.5,45.9,1400
36312,19.8,21.1,18.2,10,9.8,0,82.3,1364
36313,18.9,21.4,17.3,29.1,8,0,86,1364
36314,21.7,27.1,15.8,0,3.4,9.7,73.6,1400
36315,23.7,29.8,17.2,0,2.1,11,66.1,1364
36316,25.7,31.6,20.4,0,2.9,7.3,64.6,1318
36317,22,25.5,19.8,1.7,8.5,1.3,76.8,1314
36318,22.9,27.9,17.8,0,4.1,11,62.6,1309
36319,23.4,29.3,17.7,0,4.3,11.1,48.9,1273
36320,23.8,30.6,16.7,0,1.3,11.6,53.5,1273
36321,23.6,28.3,19.6,0,2.6,10.2,60.4,1273
36322,22.6,28.9,17.8,0,0.9,9.8,68.5,1273
36323,23.1,29.6,17.1,0,0.1,11.3,62.5,1245
36324,23.8,29.9,17.8,0,0.8,11.2,63.3,1245
36325,25.1,32,18.5,0,5.4,9.9,54.1,1245
36326,23.8,29,21.3,0,9.1,2.6,54.6,1255
36327,18.7,21.5,17.4,11.6,9.6,0,86.6,1236
36328,20.7,24.4,16.2,0,9,0.2,69,1236
36329,21.9,27,17.8,0,7.1,7.1,66,1236
36330,21.6,26.8,17.3,0,4.4,4.8,68.5,1236
36331,21.7,26.8,17.7,0,7.6,7.7,73.5,1236
36332,23.6,30,18.2,39.5,7.8,6.6,69.9,1236
36333,24.8,30.6,18.8,14.4,5.8,9.2,59.3,1227
36334,20,23.6,17.4,25.3,9.3,0,81.8,1227
36335,21.4,26,16.6,0,6.6,11.7,70.8,1209
36336,23.3,28.7,19.4,0,6.1,7.5,71.5,1209
36337,25.1,31,20,0.2,5.3,7.3,74,1227
36338,25.3,30.9,20.7,0,2.4,10.2,66.6,1227
36339,27.2,33.3,20.2,0,5.1,9.1,59.5,1227
36340,27.6,33.6,23.4,0,4.1,9.3,62.1,1245
36341,26,31.7,21.8,0,1.3,8.8,66.3,1245
36342,25.9,30.2,21.3,0,7.8,5.6,69.1,1245
36343,25.5,30,22.6,0,7.4,4.4,65.5,1245
36344,25.7,31.2,20,0,3.3,6.5,64.4,1245
36345,25.9,30.7,22.8,0.7,7,8.3,71.9,1245
36346,26.1,31.5,21.1,0,5,7.3,65.1,1245
36347,26.3,31.9,21.8,0,6.1,5,63.9,1245
36348,26.2,32.1,22.4,0,4.9,8.6,67.8,1245
36349,26.3,29.8,22.2,0,9,2.8,65,1209
36350,23.5,26.2,20.7,17.9,10,0,81,1209
36351,21.3,24.2,19,19.1,9,0,78.9,1209
36352,24.4,30.2,18.8,0,1.4,12,54.6,1209
36353,23.8,28.9,18.2,0,3.5,6,62.9,1209
36354,26.1,30.9,20.4,0,6.8,10,64,1209
36355,27.3,32.8,21.5,0,6.4,9.8,59,1209
36356,23.5,27.4,19.4,6.1,7.8,3.2,72.6,1191
36357,23.9,28.5,21.5,1.8,8.6,3.5,81.6,1191
36358,24.8,29.2,22.5,0,8.5,1.9,79.4,1191
36359,25.3,30.3,22.2,0.2,8.4,1,79.5,1191
36360,26.8,31.9,22.9,0,7.9,2.3,76.5,1191
36361,29.5,34.9,23.8,0,4.8,10.4,63.5,1173
36362,28.6,32.8,25.6,2.7,8.6,1.7,75.4,1173
36363,25.5,28.5,23.8,40,9.5,0.6,90.5,1173
36364,26,28.8,23.7,0,8.8,5.2,79,1173
36365,26.2,29.1,24,0,9.8,0.7,77.8,1173
36366,26.8,30.6,23.5,13.5,8.6,2.3,79.6,1173
36367,29.6,34.2,24.1,0,4.8,7.3,67.8,1173
36368,28.7,30.6,27.4,0.4,9,2.2,67.5,1173
36369,24.9,27.8,23.8,58.2,10,0,88.8,1200
36370,25,27.1,22.5,12,10,0,89.1,1200
36371,26.8,31.1,24.5,11.6,9.5,1.8,82,1200
36372,25.4,27,24.5,46.2,10,0,86.4,1200
36373,23.5,25,22.7,163.5,10,0,90.3,1200
36374,20.8,23.4,19.6,261.6,10,0,90.5,1200
36375,21,24.8,19.7,66.9,10,0,87.3,1200
36376,23.9,28.4,19.7,0,8.3,6.1,75.6,1236
36377,26.2,32.1,21.1,0,4,10.3,68.1,1255
36378,28,33,22.6,0,2.9,11.7,67.5,1255
36379,29.1,33.3,24.6,0,5.3,9.6,67,1255
36380,29.8,33.1,25.5,0.4,8,4.1,67.4,1255
36381,28.5,30.8,26.6,0,8.3,0.8,78.1,1255
36382,29.9,34.4,25.4,0,2.5,8.5,70.8,1255
36383,28.6,32.8,25.4,1.2,5.9,5.5,77.5,1255
36384,29,33.4,25.2,0,5.9,7.7,66.6,1255
36385,29.1,33.3,24.2,0,3.6,11.2,60.1,1255
36386,29,33.6,24.8,0,4.4,8.1,64.1,1255
36387,28.8,34.3,23.8,0,3.1,10.5,64,1255
36388,28.8,34.2,23.3,0,1.3,10.5,65.9,1255
36389,29.6,35.4,23.6,0,1,11.1,69,1255
36390,26.8,31.3,21.9,0.5,7.1,4.1,72,1255
36391,25.3,29.8,21.2,0,6.9,3.9,76.4,1255
36392,25.2,28.6,22.4,6.9,7.9,0.5,84.3,1255
36393,24.3,27.6,22.4,0.7,9,6.9,73.8,1291
36394,23.6,26.7,20.5,0,9.6,0.4,69.1,1291
36395,25.5,30.5,19.9,0,4.9,7.1,62.3,1291
36396,24.6,29.7,21.3,12.5,6.4,4.2,72.1,1300
36397,24.4,28.2,21.6,0,9.6,0.4,77.1,1345
36398,24.9,29.6,21.3,0.5,7.1,7.6,69.5,1345
36399,22.2,25.4,20.8,18.2,9.1,0.5,82,1345
36400,23.9,28.4,19.5,0,5.1,5,79.8,1345
36401,24.4,27.6,20.4,0,7.4,1.8,77.3,1345
36402,23.6,28.9,20.6,61.3,9.1,1,83.9,1345
36403,23.2,27.8,21.2,6.3,6.1,2.3,86.3,1345
36404,24.9,30.1,20.2,0,1.8,7.2,71.9,1345
36405,26,31.7,21.1,0,2.6,6.7,71.4,1345
36406,26.8,31.8,21.8,0,3.5,7.2,68.9,1345
36407,26.4,31.3,22,0,6.3,5.5,70.1,1355
36408,22.8,25,20.8,66.6,7.5,0,85.8,1364
36409,24.5,29.3,19.4,0,8.3,1.7,77.5,1373
36410,24.7,28.5,22.3,14.8,8.6,2,84.3,1373
36411,25.5,29.1,22.6,0,5.9,3.9,79.8,1373
36412,26.2,29.4,23.6,0.2,9.6,5.1,76.6,1373
36413,25.6,29.2,22.2,4.5,8,2.1,82.5,1382
36414,25.6,29.1,23.7,0,9.3,3,80.4,1382
36415,26.4,30.5,24.3,0,8.8,1.7,77.9,1382
36416,25.8,32,21.4,0,3.9,8.2,65,1382
36417,24.8,29.6,21.7,0,9,2.9,62.1,1382
36418,23.9,29.4,19,0,4.5,6.7,65.8,1382
36419,24.3,29.5,19.7,0,4.4,7.6,64.8,1382
36420,24.3,29,21,0,7,8.2,64.3,1382
36421,20.6,22.9,19.4,22.6,9.9,0,86.9,1382
36422,21.5,25.1,18.6,101.4,9.4,0,90.3,1382
36423,16.8,18.6,15.6,113.6,10,0,89.8,1382
36424,16,18.5,12.8,41.3,10,0,74.8,1382
36425,18.5,20,17.5,0.6,10,0,70.6,1400
36426,19.3,21.1,16.9,1,9.8,0.3,82.8,1422
36427,20.3,23.8,17.8,10.7,8.9,0.3,85,1422
36428,20.1,24.6,15.1,0,0.9,8.4,72.4,1422
36429,20,26.5,14.6,0,2.3,9.1,71.5,1422
36430,21.2,27.3,15.8,0,4.4,7.5,69.5,1455
36431,22.4,28.4,16.9,0,6.8,5.5,74.6,1455
36432,21.2,24.3,18.4,0,5.8,1.8,80.4,1536
36433,20.2,24.7,16.4,0,3.5,7.3,72.5,1636
36434,18.9,20.8,17.1,17.3,9.1,0,85.4,1736
36435,13.7,18.6,10.3,15.3,8.9,0,74.4,1791
36436,13.3,19,7.2,0,2.1,9.9,54.1,1782
36437,14.5,20.4,8.4,0,6.6,7.2,56.5,1773
36438,16.3,21.7,12.4,0,6.3,8.5,62.6,1809
36439,15.9,18.3,13.4,0,9.9,0,81.4,1836
36440,17.1,21.5,14.3,5.5,5.8,2.2,82.3,1845
36441,18,23.3,13.6,0,3.3,7.4,78.9,1882
36442,18,23.7,13.8,0,5.6,4.8,76.1,1882
36443,17,19.4,15,14.8,10,0,83.4,1882
36444,17.4,22.4,15,3.4,6.6,5.2,84.6,1882
36445,18.1,24,12.5,0,6.3,4.9,71.6,1882
36446,17.8,20.4,14.2,0,6.8,1.9,73,1845
36447,17.4,22.5,13.1,0,7,4.3,75.4,1755
36448,15.3,20.5,8.1,0,6.4,7.2,55.4,1782
36449,6.3,9.3,3.8,0,4,6.8,37.1,1782
36450,7.1,11,1.5,1.8,4.4,2.8,80.5,1759
36451,10,17,3.4,0,0,9,68,1736
36452,11.7,18.6,5.4,0,0,8.9,65.8,1700
36453,13.2,19.8,7,0,2,7.3,76.5,1673
36454,14.6,19.7,11.8,0,4.8,4.1,81.9,1682
36455,14.7,19.5,10.2,0,2.6,7.3,79,1682
36456,15.1,20.7,11.3,0,0,9,64.1,1682
36457,14.7,21.3,9.7,0,0,9,64.8,1664
36458,14.8,21.2,8.8,0,0.3,8.8,69.1,1645
36459,14.5,18.6,10,0,6,1.1,71.4,1645
36460,15.5,21.6,10.6,0,2.6,7.4,76.9,1627
36461,15.3,18,12.9,2.4,9.4,0,84.3,1627
36462,8.7,14.3,5.2,0,2.6,8.8,44.3,1627
36463,9.1,14.6,3.9,0,1.6,8.6,56,1618
36464,8,11.4,5.7,21.1,9.4,0,71.3,1618
36465,7.7,10.1,5,1.7,7.9,0.7,70.8,1618
36466,6.6,11.4,2.7,0,1,8.7,51.6,1618
36467,7,12,1.6,0,0.4,8.7,56.6,1609
36468,9.2,14.9,2.1,0,1.5,7.8,70.8,1591
36469,11.9,18.3,6.7,0,2.1,6.2,78.1,1591
36470,12.4,18.3,7.5,0,0,6.3,75.6,1591
36471,12.2,17.6,7,0,5.6,4.1,75,1559
36472,12.8,18.6,8.4,0,1.6,8,70.5,1536
36473,12.8,18.6,9.4,0,1.5,8.5,54.1,1536
36474,11.6,14.9,7.8,0,5.1,1.6,64.1,1536
36475,10.4,11.3,9.7,9,8.8,0,91.3,1536
36476,11.6,15.4,9,1.6,4.5,7.7,77.9,1564
36477,10.4,15.7,7.1,0,0,8.6,55.5,1564
36478,10.8,17.9,3.8,0,2,8.6,57.8,1564
36479,10,13.5,7,0,3.1,7.9,67.8,1564
36480,7.1,11.6,2.9,0,4.3,7,56.6,1564
36481,5.1,8,1,0,6,0.8,56.6,1573
36482,5.9,9.6,2.3,0,1.1,8.9,57.3,1591
36483,7.1,13.2,1.2,0,2.8,6.1,65.8,1591
36484,8.9,13,6.1,1.1,6.1,3.2,82.1,1591
36485,8.5,14.5,3.8,0,5.4,6.1,76.8,1600
36486,9.9,15.4,5.7,0,5.6,4.2,72.4,1609
36487,11.5,18.3,5.5,0,1.8,7.9,69.8,1609
36488,10.9,15.7,5.9,5.9,6.6,4.7,75.8,1609
36489,3.1,11.3,-1.6,0,4.9,5.9,63.9,1609
36490,-3.6,-0.3,-6.1,0,1.8,7.8,48.4,1564
36491,-0.6,2.9,-4.3,0,8.5,4.1,56.9,1564
36492,-1.5,1.4,-3.6,0,0.6,8.3,52.1,1564
36493,1.6,5.7,-3.1,0.1,5.8,7.5,58.5,1564
36494,5.1,9.1,2,0.1,2.6,7.6,45.8,1564
36495,2.6,5.9,-1,0,5.5,0,52.1,1564
36496,5.4,11,1.1,0,1.5,6.5,59.8,1564
36497,4.5,10.5,-0.9,0,1.8,6.5,63,1564
36498,5.8,10.1,0.8,0,7.4,2.5,79.9,1564
36499,3.6,7.3,0.7,0,5,5.5,68.5,1564
36500,0.5,3.6,-1.9,0,1.3,7.9,60,1564
36501,2.4,6.1,-3.3,0,4.1,3.8,62.6,1564
36502,6.4,8.5,3,0.5,8.9,0,78.4,1564
36503,5.8,8.7,2.7,0,1,7.7,53.8,1564
36504,5.2,12,0.7,0,4,3,63.5,1564
36505,0,3.4,-2.5,0,0,7.3,41.8,1564
36506,0.4,5.7,-5,3.2,4.8,6.4,64.5,1560
36507,0.9,3.5,-1.7,0,1.6,7.8,59.4,1555
36508,0.1,4.3,-4.9,2.4,3.9,5,65.5,1555
36509,1.6,4.8,-0.9,0,3,7.6,69.3,1555
36510,3,8.2,-0.8,6,6.6,1.2,74.9,1536
36511,-3.8,-0.8,-6.4,0,0.5,7.3,56.8,1536
36512,-5.8,-1.9,-8.2,0,1.1,7.9,57.3,1536
36513,-7.1,-3.8,-9.6,0,1,7.6,52.3,1536
36514,-8.5,-5.2,-11.3,0,0.8,6.5,54.9,1536
36515,-7.2,-2.9,-11.5,0,0,7.8,58,1555
36516,-4.8,-0.5,-8.7,0,0.1,7.9,56,1555
36517,-2.1,2,-7.4,0,5.1,2.7,72.5,1555
36518,0.1,2.3,-1.5,3.6,7,2.1,79.9,1555
36519,-3,-0.1,-4.9,0,0.9,6.7,65.1,1536
36520,-3.3,1.8,-8.1,0,0,6.1,69.8,1536
36521,0.7,5.9,-4.5,0,3.5,7.1,65.8,1518
36522,3.4,6.6,-0.4,1.3,6.5,1.3,64.5,1518
36523,0.2,5.2,-4.3,0,0,7.2,59.8,1518
36524,1.7,7.7,-3.5,0,1.8,7.7,61,1500
36525,3.5,7.3,0,0,5.8,0,76.6,1500
36526,5.5,9.9,1.8,0,4.5,2.3,63.5,1500
36527,4.2,6.9,-0.9,6,5.5,2.2,74.3,1500
36528,-2.2,0.1,-4.6,0,0.8,5.4,54.1,1500
36529,0.3,4.3,-4.3,0,3.8,1.6,48.6,1500
36530,2.8,4.6,0.1,18.4,10,0,83.6,1450
36531,1.7,5.7,-4.2,9.8,7.9,0.1,78.9,1450
36532,-8.2,-4.2,-12.1,0,2.9,5.5,50.9,1450
36533,-3.8,-0.1,-7.2,0.5,4.8,3,73.5,1450
36534,-1.9,1,-6,0,7,0.1,63.5,1450
36535,-0.8,2.3,-4.8,0.1,3.4,5.1,63.3,1450
36536,-0.2,4.9,-7.1,0,5.3,4.6,57.9,1450
36537,3.7,5.1,2.6,3.9,9.6,0,81.8,1450
36538,0.7,4,-2.1,1.7,9.9,0,83.8,1450
36539,-1.4,1.1,-2.6,0,8.6,0.2,68.6,1450
36540,-1.1,3.3,-4.9,0,3.6,3.6,64.8,1450
36541,0.2,4.5,-2.2,0,2.6,5.1,65.6,1450
36542,-0.9,3.8,-4.4,0,1.8,3.5,70.5,1450
36543,-1.8,2.3,-5.1,0,0,6.1,65.5,1450
36544,-4.7,-1.2,-7.5,0.8,8,0.1,71.1,1450
36545,-8.5,-5.4,-11.4,0,0.8,6.5,55.5,1450
36546,-7,-2.6,-11.6,0,0.6,6.2,51.5,1450
36547,-2.5,1.6,-6.7,1.2,8.9,0.9,62.8,1450
36548,2.4,7.4,-1.1,0.4,5.3,5.2,72.8,1450
36549,-2.9,0.2,-6.5,0,4.6,4,61.3,1450
36550,-7.5,-2.9,-10.6,0,0,6.6,45.8,1440
36551,-8.3,-4.5,-11.2,0,0,6.2,48.9,1420
36552,-5.9,-0.8,-11.2,0,0,6.6,51.6,1420
36553,-3.4,2.5,-8.7,0,0,5.6,60.6,1420
36554,-0.3,2.7,-4.1,0,9.1,0.2,71.4,1400
36555,-4.3,1,-8.1,0,2,5.5,58.6,1400
36556,-7.8,-4.7,-10.7,0,0.1,6.3,49,1400
36557,-6.6,-2,-11.6,0,2.9,4.9,55,1400
36558,-3.8,0.8,-8.8,0,0.4,5.4,66.3,1400
36559,-1.8,2,-4.3,0,7.3,1,69.9,1410
36560,-2,3.7,-7.1,0,0.3,5.9,56.9,1410
36561,-0.5,4.1,-5.9,0.5,6.1,1,66.3,1410
36562,-0.1,2.3,-1.3,0.7,8.8,1.8,83.4,1410
36563,-1.6,1.7,-5.3,0,7.5,0.3,68.1,1410
36564,-6.9,-4.4,-9.4,0,1.8,4.3,51.4,1410
36565,-5.2,-0.8,-9.5,0,0,7.6,43.8,1410
36566,-2.2,3.1,-8.8,0,1.4,6,49,1410
36567,1.6,5.3,-1,0,4.4,4.2,67,1410
36568,2.1,6.1,-1.5,0,4.8,0,76.4,1410
36569,2.5,6.5,-2.2,0,6.8,1.6,77.3,1410
36570,-0.3,3.5,-4.3,0.9,4,7,58.8,1410
36571,-5.4,-2,-7.8,0,1.6,7.7,42.3,1410
36572,-4.6,-0.2,-8.1,0,0,7.7,43.8,1410
36573,-3.9,0.4,-8.4,0,0,7.9,47.1,1410
36574,-2.1,3.1,-7.5,0,1.6,7.2,41.8,1410
36575,1.7,7.5,-3.7,0,6.3,3.3,44.3,1410
36576,-0.7,4.2,-4.3,0,0.9,7.7,57,1410
36577,-1.7,3.1,-5.6,0,0,8.1,44.6,1410
36578,-0.6,4.6,-5.6,0,1.5,6.2,48.3,1410
36579,0.6,4.4,-2.9,0,6.9,0.2,58.8,1410
36580,-3.2,1,-6.5,0,0,7.4,41.9,1390
36581,-2,2,-6.9,0,5,3.5,46.3,1360
36582,0.5,3.7,-2.4,0,6.5,2.5,60.9,1360
36583,1.8,6.2,-3.6,0,4.8,3.6,59.1,1360
36584,-2.8,1.1,-6.1,0,0,8,37,1360
36585,-1.2,4.4,-6.7,0,0.6,7.3,52.9,1360
36586,2.3,7.7,-3.2,0,1.4,5.8,74.4,1355
36587,5.3,11.2,1.7,0,3.6,4.1,65.9,1350
36588,8.8,17.2,1.2,0,5.8,5.6,46.5,1350
36589,8.1,12.9,4.7,0,3.6,6.4,56.5,1340
36590,5.5,10.5,1.4,0,3.3,2.6,49.9,1340
36591,2.7,6.8,-1.6,0,2.3,3.4,58.6,1340
36592,-1.7,2.2,-4.5,0,0,6.3,40.6,1340
36593,-0.8,3.9,-4.8,0,2.3,2.6,51.3,1340
36594,1.1,5.7,-4.6,0,0,6,42.1,1340
36595,3.6,9.2,-3.5,0,3.8,6.7,60.8,1340
36596,5.2,7,3.6,0,8.1,0,79,1310
36597,3.9,10.4,0.7,0,5.6,5,78.6,1310
36598,4.7,10.4,-0.5,0,0.8,6.8,52.5,1310
36599,6.2,11.7,1.5,0,0.6,8.4,37.5,1290
36600,7.8,13.8,1,0,7.6,2.1,47,1290
36601,5.6,9.3,3.6,0.1,5.9,1.4,62.6,1290
36602,7.5,13.4,1.6,0,1.3,7.5,56.3,1290
36603,10.6,14.9,7.4,0,8.9,1.5,51.1,1290
36604,6.4,10,3.2,0.4,5.9,2.6,70.1,1290
